丁, uni
娶, ⿱<取>⿸耳又女
婆, ⿱<波>⿰氵皮女
婉, ⿰女<宛>⿱宀<夗>⿰<夕>⿴𠂊丶㔾
婚, ⿰女<昏>⿱氏日
婴, ⿱⿰贝贝女
婶, ⿰女<审>⿱宀申
婿, ⿰女<胥>⿱疋月
媒, ⿰女<某>⿱甘木
媚, ⿰女<眉>⿸𠃜目
媳, ⿰女<息>⿱自心
嫁, ⿰女<家>⿱宀<豕>⿱一𧰨
嫂, ⿰女<叟>⿱<CDP-884F>⿻臼丨又
嫉, ⿰女<疾>⿸疒矢
嫌, ⿰女兼
嫡, ⿰女<啇>⿱<CDP-8BAE>⿱亠丷⿵冂<古>⿱十口
嫩, ⿰女<敕>⿰束攵
嬉, ⿰女<喜>⿱<壴>⿱十豆口
孔, ⿰子乚
孕, ⿱<乃>⿹𠄎丿子
字, ⿱宀子
存, ⿸<CDP-88F1>;子
孙, ⿰子小
孝, ⿱耂子
孟, ⿱子皿
季, ⿱禾子
孤, ⿰子瓜
学, ⿳⺍冖子
孩, ⿰子亥
孵, ⿰<卵>⿰<𠂑>⿴𠂎丶<卪>⿴卩丶<孚>⿱爫子
孽, ⿱<薛>⿱艹⿰<𠂤>⿱丿㠯<辛>⿱立十子
宁, ⿱宀丁
它, ⿱宀匕
宅, ⿱宀<乇>⿱丿<七>⿻<CDP-8DE4>;乚
宇, ⿱宀于
守, ⿱宀寸
安, ⿱宀女
宋, ⿱宀木
完, ⿱宀元
宏, ⿱宀<厷>⿸𠂇厶
宗, ⿱宀示
官, ⿱宀㠯
宙, ⿱宀由
定, ⿱宀<𤴓>⿱一龰
宛, ⿱宀<夗>⿰<夕>⿴𠂊丶㔾
宜, ⿱宀且
宝, ⿱宀玉
实, ⿱宀头
宠, ⿱宀<龙>⿻<尤>⿺尢丶丿
审, ⿱宀申
客, ⿱宀<各>⿱夂口
宣, ⿱宀<亘>⿱一<旦>⿱日一
室, ⿱宀<至>⿱<𠫔>⿱一厶土
宦, ⿱宀臣
宪, ⿱宀<先>⿱𠂒儿
宫, ⿱宀<吕>⿱口口
宰, ⿱宀<辛>⿱立十
害, ⿳宀龶口
宴, ⿱宀<妟>⿱日女
宵, ⿱宀<肖>⿱⺌月
家, ⿱宀<豕>⿱一𧰨
容, ⿱宀谷
宽, ⿱宀<苋>⿱艹见
宾, ⿱宀<兵>⿱丘八
宿, ⿱宀<佰>⿰亻<百>⿱一白
寂, ⿱宀<叔>⿰<尗>⿱<上>⿱⺊一小又
寄, ⿱宀<奇>⿱大可
密, ⿱<宓>⿱宀<必>⿻心丿山
寇, ⿱宀<CDP-8DD7>⿺元<攴>⿱⺊又
富, ⿱宀<畐>⿱<𠮛>⿱一口田
寒, ⿱<𡨄>⿱宀⿱<𠀎>⿱井一八<⺀>⿱丶丶
寓, ⿱宀禺
寝, ⿱宀⿰丬<𠬶>⿱<CDP-8BAB>⿴<CDP-8C78>;一⿱冖又
寞, ⿱宀<莫>⿱艹<旲>⿱日大
察, ⿱宀<祭>⿱<CDP-8C4F>⿰<CDP-88F0>⿴𠂊冫<CDP-8C4E>;示
寡, ⿳宀<CDP-8DE0>⿳一丿且<分>⿱八<刀>⿹𠃌丿
寥, ⿱宀<翏>⿱<羽>⿰习习㐱
寨, ⿱<𡨄>⿱宀⿱<𠀎>⿱井一八木
对, ⿰又寸
寺, ⿱土寸
寻, ⿱彐寸
导, ⿱巳寸
寿, ⿸丰寸
封, ⿰<圭>⿱土土寸
射, ⿰身寸
将, ⿰丬<寽>⿱爫寸
尉, ⿰<CDP-8D70>⿸尸示寸
尊, ⿱<酋>⿱丷酉寸
少, ⿱小丿
尔, ⿱𠂊小
尖, ⿱小大
尘, ⿱𡭔土
尚, ⿱⺌冋
尝, ⿱<龸>⿱⺌冖<云>⿱二厶
尤, ⿺尢丶
就, ⿰<京>⿳亠口小<尤>⿺尢丶
尼, ⿸尸匕
尽, ⿱尺<⺀>⿱丶丶
尾, ⿸尸毛
尿, ⿸尸水
局, ⿸尸⿹𠃌口
屁, ⿸尸比
层, ⿸尸<云>⿱二厶
居, ⿸尸<古>⿱十口
屈, ⿸尸<出>⿱<屮>⿻凵丿凵
屉, ⿸尸世
届, ⿸尸由
屋, ⿸尸<至>⿱<𠫔>⿱一厶土
屎, ⿸尸米
屏, ⿸尸并
屑, ⿸尸<肖>⿱⺌月
展, ⿸尸<CDP-8CE5>⿱龷<CDP-8CC6>⿰𠄌⿺乀丿
属, ⿸尸禹
屠, ⿸尸<者>⿸耂日
屡, ⿸尸<娄>⿱米女
履, ⿸尸<復>⿰彳复
屯, ⿻丿<𡳾>⿻凵乚
屹, ⿰山<乞>⿱𠂉乙
屿, ⿰山<与>⿻<CDP-8BBF>;一
岁, ⿱山<夕>⿴𠂊丶
岂, ⿱山己
岔, ⿱<分>⿱八<刀>⿹𠃌丿山
岖, ⿰山<区>⿷匚㐅
岗, ⿱山<冈>⿵冂㐅
岛, ⿹<CDP-8964>;山
岩, ⿱山<石>⿸<丆>⿱一丿口
岭, ⿰山令
岳, ⿱丘山
岸, ⿱山<厈>⿸厂干
峡, ⿰山<夹>⿻夫丷
峦, ⿱<亦>⿱亠<CDP-8CB5>;山
峭, ⿰山<肖>⿱⺌月
峰, ⿰山<夆>⿱夂丰
峻, ⿰山<夋>⿱<允>⿱厶儿夂
崇, ⿱山<宗>⿱宀示
崎, ⿰山<奇>⿱大可
崔, ⿱山隹
崖, ⿱山<厓>⿸厂<圭>⿱土土
崩, ⿱山<朋>⿰月月
崭, ⿱山<斩>⿰车斤
嵌, ⿱山<𣢟>⿰甘欠
巍, ⿱山<魏>⿰<委>⿱禾女鬼
巡, ⿺辶<巛>⿲𡿨𡿨𡿨
巢, ⿱<巛>⿲𡿨𡿨𡿨<果>⿻日木
左, ⿸𠂇工
巧, ⿰工<丂>⿱一㇉
巩, ⿰工<卂>⿹⺄十
巫, ⿻工<从>⿰人人
差, ⿸<CDP-8CCC>⿱<𦍌>⿱䒑土丿工
巷, ⿱<共>⿱龷八己
币, ⿱丿巾
市, ⿱亠巾
布, ⿸𠂇巾
帅, ⿰<CDP-8968>⿰丨丿巾
帆, ⿰巾<凡>⿵几丶
希, ⿱㐅<布>⿸𠂇巾
帐, ⿰巾长
帕, ⿰巾白
帖, ⿰巾<占>⿱⺊口
帘, ⿱<穴>⿱宀八巾
帚, ⿳<CDP-8BAB>⿴<CDP-8C78>;一冖巾
帜, ⿰巾<只>⿱口八
帝, ⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖巾
带, ⿳<卅>⿻川一冖巾
席, ⿸广<CDP-8D40>⿱廿巾
帮, ⿱<邦>⿰丰阝巾
常, ⿳<龸>⿱⺌冖口巾
帽, ⿰巾<冒>⿱日目
幅, ⿰巾<畐>⿱<𠮛>⿱一口田
幌, ⿰巾<晃>⿱日<光>⿳⺌一儿
幔, ⿰巾<曼>⿳日罒又
幕, ⿱<莫>⿱艹<旲>⿱日大巾
幢, ⿰巾<童>⿱立里
平, ⿻干丷
并, ⿱丷<开>⿱一廾
幸, ⿱土<𢆉>⿱丷干
幻, ⿰幺𠃌
幼, ⿰幺力
幽, ⿻山<𢆶>⿰幺幺
庄, ⿸广土
庆, ⿸广大
庇, ⿸广比
床, ⿸广木
序, ⿸广<予>⿱龴<𠄐>⿱乛亅
库, ⿸广车
应, ⿸广⿱⺍一
底, ⿸广<氐>⿱氏一
店, ⿸广<占>⿱⺊口
庙, ⿸广由
府, ⿸广<付>⿰亻寸
庞, ⿸广<龙>⿻<尤>⿺尢丶丿
废, ⿸广发
度, ⿸广<CDP-8C46>⿱廿又
座, ⿸广<坐>⿻土<从>⿰人人
庭, ⿸广<廷>⿺廴壬
庵, ⿸广<奄>⿱大<电>⿻日乚
庶, ⿸广⿱廿灬
康, ⿸广隶
庸, ⿸广<CDP-8DCB>⿻<肀>⿻<CDP-8BAB>⿴<CDP-8C78>;一丨月
廉, ⿸广兼
廊, ⿸广<郎>⿰<CDP-8C42>⿱丶<CDP-8B7C>;阝
廓, ⿸广<郭>⿰<享>⿳亠口子阝
延, ⿺廴<CDP-8D62>⿱丿止
廷, ⿺廴壬
建, ⿺廴聿
开, ⿱一廾
异, ⿱己廾
弃, ⿱<𠫓>⿱亠厶廾
弄, ⿱<王>⿱一土廾
弊, ⿱<敝>⿰㡀攵廾
式, ⿹弋工
引, ⿰弓丨
弛, ⿰弓也
弟, ⿱丷<𢎨>⿹<弔>⿻弓丨丿
张, ⿰弓长
弥, ⿰弓<尓>⿱𠂉小
弦, ⿰弓<玄>⿱亠幺
弧, ⿰弓瓜
弯, ⿱<亦>⿱亠<CDP-8CB5>;弓
弱, ⿰<CDP-8CC4>⿹弓冫<CDP-8CC4>⿹弓冫
弹, ⿰弓单
强, ⿰弓<虽>⿱口虫
归, ⿰<CDP-8968>⿰丨丿彐
当, ⿱⺌彐
录, ⿱彐氺
形, ⿰<开>⿱一廾彡
彤, ⿰丹彡
彩, ⿰<采>⿱爫木彡
彪, ⿺<虎>⿸<虍>⿸⿱⺊<CDP-88E2>;<七>⿻<CDP-8DE4>;乚儿彡
彬, ⿰<林>⿰木木彡
彭, ⿰<壴>⿱十豆彡
彰, ⿰<章>⿱立<早>⿱日十彡
影, ⿰<景>⿱日<京>⿳亠口小彡
役, ⿰彳<殳>⿱几又
彻, ⿰彳<切>⿰<七>⿻<CDP-8DE4>;乚<刀>⿹𠃌丿
彼, ⿰彳皮
往, ⿰彳主
征, ⿰彳<正>⿱一止
径, ⿰彳<圣>⿱又土
待, ⿰彳<寺>⿱土寸
很, ⿰彳艮
徊, ⿰彳<回>⿴囗口
律, ⿰彳聿
徐, ⿰彳余
徒, ⿰彳<走>⿱土龰
得, ⿰彳<㝵>⿱<旦>⿱日一寸
徘, ⿰彳非
徙, ⿰彳<歨>⿱止龰
御, ⿰彳<卸>⿰𦈢卩
循, ⿰彳<盾>⿸𠂆<𥃭>⿱十目
微, ⿰彳<𣁋>⿰<𡵉>⿱山兀攵
德, ⿰彳<𢛳>⿱⿳十罒一心
徽, ⿲彳⿱山<糸>⿱幺小攵
必, ⿻心丿
忆, ⿰忄乙
忌, ⿱己心
忍, ⿱刃心
志, ⿱<士>⿱十一心
忘, ⿱<亡>⿱亠𠃊心
忙, ⿰忄<亡>⿱亠𠃊
忠, ⿱<中>⿻口丨心
忧, ⿰忄<尤>⿺尢丶
快, ⿰忄<夬>⿻𠃍大
忱, ⿰忄冘
念, ⿱今心
忽, ⿱勿心
忿, ⿱<分>⿱八<刀>⿹𠃌丿心
怀, ⿰忄<不>⿱一<CDP-8665>;
态, ⿱<太>⿵大丶心
怎, ⿱乍心
怒, ⿱<奴>⿰女又心
怔, ⿰忄<正>⿱一止
怕, ⿰忄白
怖, ⿰忄<布>⿸𠂇巾
怜, ⿰忄令
思, ⿱田心
怠, ⿱<台>⿱厶口心
急, ⿱<刍>⿱𠂊彐心
性, ⿰忄生
怨, ⿱<夗>⿰<夕>⿴𠂊丶㔾心
怪, ⿰忄<圣>⿱又土
怯, ⿰忄<去>⿱土厶
总, ⿱<𠮦>⿱丷口心
恃, ⿰忄<寺>⿱土寸
恋, ⿱<亦>⿱亠<CDP-8CB5>;心
恍, ⿰忄<光>⿳⺌一儿
恐, ⿱<巩>⿰工<卂>⿹⺄十心
恒, ⿰忄<亘>⿱一<旦>⿱日一
恕, ⿱<如>⿰女口心
恢, ⿰忄<灰>⿸厂<火>⿱八人
恤, ⿰忄<血>⿱丿皿
恨, ⿰忄艮
恩, ⿱<因>⿴囗大心
恬, ⿰忄舌
恭, ⿱<共>⿱龷八<㣺>⿰小丶
息, ⿱自心
恰, ⿰忄<合>⿱<CDP-8AFC>⿵𠆢一口
恳, ⿱艮心
恶, ⿱<亚>⿱一<业>⿱<CDP-85F0>;一心
恼, ⿰忄<㐫>⿱亠<凶>⿶凵㐅
悄, ⿰忄<肖>⿱⺌月
悉, ⿱<釆>⿱丿米心
悍, ⿰忄<旱>⿱日干
悔, ⿰忄<毎>⿱𠂉毋
悟, ⿰忄<吾>⿱<五>⿱一𫝀口
悠, ⿱<攸>⿰<CDP-8B7A>⿰亻丨攵心
患, ⿱<串>⿻<吕>⿱口口丨心
悦, ⿰忄<兑>⿱丷<兄>⿱口儿
您, ⿱<你>⿰亻<尔>⿱𠂊小心
悬, ⿱<县>⿱且厶心
悯, ⿰忄<闵>⿵门文
悲, ⿱非心
悴, ⿰忄<卒>⿱<𠅃>⿱亠<从>⿰人人十
悼, ⿰忄<卓>⿱⺊<早>⿱日十
情, ⿰忄<青>⿱龶月
惊, ⿰忄<京>⿳亠口小
惋, ⿰忄<宛>⿱宀<夗>⿰<夕>⿴𠂊丶㔾
惑, ⿱<或>⿹戈⿱口一心
惕, ⿰忄<易>⿱日勿
惜, ⿰忄<昔>⿱龷日
惠, ⿱<CDP-8BD0>;心
惦, ⿰忄<店>⿸广<占>⿱⺊口
惧, ⿰忄具
惨, ⿰忄<参>⿱厶⿱大彡
惩, ⿱<征>⿰彳<正>⿱一止心
惫, ⿱夂<思>⿱田心
惭, ⿰忄<斩>⿰车斤
惯, ⿰忄<贯>⿱毌贝
惰, ⿰忄<CDP-8CA9>⿱<左>⿸𠂇工月
想, ⿱<相>⿰木目心
惶, ⿰忄<皇>⿱白<王>⿱一土
惹, ⿱<若>⿱艹<右>⿸𠂇口心
愁, ⿱<秋>⿰禾<火>⿱八人心
愈, ⿱<俞>⿱<CDP-8AFC>⿵𠆢一<刖>⿰月刂心
愉, ⿰忄<俞>⿱<CDP-8AFC>⿵𠆢一<刖>⿰月刂
意, ⿱<音>⿱立日心
愕, ⿰忄<咢>⿱<吅>⿰口口亏
愚, ⿱禺心
感, ⿱<咸>⿵<戌>⿵戊一口心
愤, ⿰忄<贲>⿱<卉>⿱十廾贝
愧, ⿰忄鬼
愿, ⿱<原>⿸厂<CDP-8BC4>⿱白小心
慈, ⿱<兹>⿱䒑<𢆶>⿰幺幺心
慌, ⿰忄<荒>⿱艹<巟>⿱<亡>⿱亠𠃊<CDP-8BED>⿻儿丨
慎, ⿰忄<真>⿱十具
慕, ⿱<莫>⿱艹<旲>⿱日大<㣺>⿰小丶
慢, ⿰忄<曼>⿳日罒又
慧, ⿱<彗>⿱⿰丰丰<CDP-8BAB>⿴<CDP-8C78>;一心
慨, ⿰忄<既>⿰<CDP-8B7C>;旡
慰, ⿱<尉>⿰<CDP-8D70>⿸尸示寸心
慷, ⿰忄<康>⿸广隶
憋, ⿱<敝>⿰㡀攵心
憎, ⿰忄<曽>⿳丷田日
憔, ⿰忄<焦>⿱隹灬
憨, ⿱<敢>⿰<CDP-8C5B>⿱<丅>⿱一丨耳攵心
憾, ⿰忄<感>⿱<咸>⿵<戌>⿵戊一口心
懂, ⿰忄<董>⿱艹重
懈, ⿰忄<解>⿰角<CDP-8C68>⿱<刀>⿹𠃌丿牛
懊, ⿰忄<奧>⿱<CDP-8D7C>⿱丿⿵冂<釆>⿱丿米大
懒, ⿰忄<赖>⿰束<负>⿱𠂊贝
懦, ⿰忄<需>⿱雨而
戈, ⿻弋丿
戏, ⿰又戈
成, ⿵戊𠃌
戒, ⿹戈廾
或, ⿹戈⿱口一
战, ⿰<占>⿱⺊口戈
戚, ⿵戊<尗>⿱<上>⿱⺊一小
截, ⿹𢦏隹
戳, ⿰<翟>⿱<羽>⿰习习隹戈
戴, ⿹𢦏<異>⿱田<共>⿱龷八
户, ⿱丶尸
房, ⿸户方
所, ⿰户斤
扁, ⿸户𠕁
扇, ⿸户<羽>⿰习习
扎, ⿰扌乚
扑, ⿰扌卜
扒, ⿰扌八
打, ⿰扌丁
扔, ⿰扌<乃>⿹𠄎丿
托, ⿰扌<乇>⿱丿<七>⿻<CDP-8DE4>;乚
扛, ⿰扌工
扣, ⿰扌口
执, ⿰扌<丸>⿻九丶
扩, ⿰扌广
扫, ⿰扌彐
扬, ⿰扌𠃓
扭, ⿰扌丑
扮, ⿰扌<分>⿱八<刀>⿹𠃌丿
扯, ⿰扌止
扰, ⿰扌<尤>⿺尢丶
扳, ⿰扌反
扶, ⿰扌夫
批, ⿰扌比
扼, ⿰扌<厄>⿸厂㔾
找, ⿰扌戈
技, ⿰扌<支>⿱十又
抄, ⿰扌<少>⿱小丿
把, ⿰扌巴
抑, ⿰扌<卬>⿰<CDP-8CBD>;卩
抒, ⿰扌<予>⿱龴<𠄐>⿱乛亅
抓, ⿰扌爪
投, ⿰扌<殳>⿱几又
抖, ⿰扌斗
抗, ⿰扌<亢>⿱亠几
折, ⿰扌斤
抚, ⿰扌<无>⿱一尢
抛, ⿰扌<𠠵>⿺九力
抠, ⿰扌<区>⿷匚㐅
抡, ⿰扌<仑>⿱𠆢匕
抢, ⿰扌<仓>⿱𠆢㔾
报, ⿰扌<𠬝>⿸卩又
披, ⿰扌皮
抬, ⿰扌<台>⿱厶口
抱, ⿰扌包
抵, ⿰扌<氐>⿱氏一
抹, ⿰扌末
押, ⿰扌甲
抽, ⿰扌由
拂, ⿰扌弗
拄, ⿰扌主
担, ⿰扌<旦>⿱日一
拆, ⿰扌斥
拇, ⿰扌母
拉, ⿰扌立
拌, ⿰扌<半>⿱丷<CDP-8BF1>⿻二丨
拍, ⿰扌白
拐, ⿰扌<叧>⿱口<刀>⿹𠃌丿
拒, ⿰扌巨
拓, ⿰扌<石>⿸<丆>⿱一丿口
拔, ⿰扌<犮>⿻犬丿
拖, ⿰扌<㐌>⿱𠂉也
拗, ⿰扌<幼>⿰幺力
拘, ⿰扌<句>⿹勹口
拙, ⿰扌<出>⿱<屮>⿻凵丿凵
招, ⿰扌<召>⿱<刀>⿹𠃌丿口
拜, ⿰龵<CDP-8CE7>⿱一丰
拟, ⿰扌以
拢, ⿰扌<龙>⿻<尤>⿺尢丶丿
拣, ⿰扌<CDP-89BA>;
拥, ⿰扌用
拦, ⿰扌<兰>⿱丷<三>⿳一一一
拧, ⿰扌<宁>⿱宀丁
拨, ⿰扌发
择, ⿰扌<𠬤>⿱又<CDP-8BF1>⿻二丨
括, ⿰扌舌
拭, ⿰扌<式>⿹弋工
拯, ⿰扌<丞>⿱<氶>⿱⺂水一
拱, ⿰扌<共>⿱龷八
拳, ⿱<龹>⿱丷夫手
拴, ⿰扌<全>⿱𠆢<王>⿱一土
拷, ⿰扌<考>⿱耂<丂>⿱一㇉
拼, ⿰扌并
拾, ⿰扌<合>⿱<CDP-8AFC>⿵𠆢一口
拿, ⿱<合>⿱<CDP-8AFC>⿵𠆢一口手
持, ⿰扌<寺>⿱土寸
挂, ⿰扌<圭>⿱土土
指, ⿰扌<旨>⿱匕日
按, ⿰扌<安>⿱宀女
挎, ⿰扌<夸>⿱大亏
挑, ⿰扌兆
挖, ⿰扌<穵>⿱宂乙
挚, ⿱<执>⿰扌<丸>⿻九丶手
挟, ⿰扌<夹>⿻夫丷
挠, ⿰扌尧兀
挡, ⿰扌<当>⿱⺌彐
挣, ⿰扌争
挤, ⿰扌<齐>⿱文<CDP-8BF5>⿰丿丨
挥, ⿰扌<军>⿱冖车
挨, ⿰扌<矣>⿱厶矢
挪, ⿰扌<那>⿰<CDP-89FA>⿻<刀>⿹𠃌丿二阝
挫, ⿰扌<坐>⿻土<从>⿰人人
振, ⿰扌辰
挺, ⿰扌<廷>⿺廴壬
挽, ⿰扌免
捂, ⿰扌<吾>⿱<五>⿱一𫝀口
捅, ⿰扌<甬>⿱龴用
捆, ⿰扌<困>⿴囗木
捉, ⿰扌<足>⿱口龰
捌, ⿰扌<别>⿰<另>⿱口力刂
捍, ⿰扌<旱>⿱日干
捎, ⿰扌<肖>⿱⺌月
捏, ⿰扌<圼>⿱日土
捐, ⿰扌肙
捕, ⿰扌甫
捞, ⿰扌<劳>⿱<𫇦>⿱艹冖力
损, ⿰扌<员>⿱口贝
捡, ⿰扌佥
换, ⿰扌<奂>⿳𠂊冂大
捣, ⿰扌<岛>⿹<CDP-8964>;山
捧, ⿰扌<奉>⿱<𡗗>⿻<三>⿳一一一人<CDP-8BF1>⿻二丨
据, ⿰扌<居>⿸尸<古>⿱十口
捶, ⿰扌垂
捷, ⿰扌疌
捺, ⿰扌<奈>⿱大示
捻, ⿰扌<念>⿱今心
掀, ⿰扌<欣>⿰斤欠
掂, ⿰扌<店>⿸广<占>⿱⺊口
授, ⿰扌<受>⿱<CDP-8BB8>⿱爫冖又
掉, ⿰扌<卓>⿱⺊<早>⿱日十
掌, ⿳<龸>⿱⺌冖口手
掏, ⿰扌<匋>⿹勹缶
掐, ⿰扌<臽>⿱勹臼
排, ⿰扌非
掖, ⿰扌<夜>⿱亠⿰亻<CDP-89F3>⿴夂丶
掘, ⿰扌<屈>⿸尸<出>⿱<屮>⿻凵丿凵
掠, ⿰扌<京>⿳亠口小
探, ⿰扌<罙>⿱<⺳>⿱冖八木
接, ⿰扌<妾>⿱立女
控, ⿰扌<空>⿱<穴>⿱宀八工
推, ⿰扌隹
掩, ⿰扌<奄>⿱大<电>⿻日乚
措, ⿰扌<昔>⿱龷日
掷, ⿰扌<郑>⿰关阝
掸, ⿰扌单
掺, ⿰扌<参>⿱厶⿱大彡
揉, ⿰扌<柔>⿱矛木
描, ⿰扌<苗>⿱艹田
提, ⿰扌<是>⿱日<𤴓>⿱一龰
插, ⿰扌<臿>⿻干臼
揖, ⿰扌<咠>⿱口耳
握, ⿰扌<屋>⿸尸<至>⿱<𠫔>⿱一厶土
揣, ⿰扌<耑>⿱山而
揩, ⿰扌<皆>⿱比白
揪, ⿰扌<秋>⿰禾<火>⿱八人
揭, ⿰扌<曷>⿱日<匃>⿹勹<亾>⿺𠃊人
援, ⿰扌<爰>⿳爫一<友>⿸𠂇又
揽, ⿰扌<览>⿱⿰〢<个>⿱𠂉丶见
搀, ⿰扌⿱免<⺀>⿱丶丶
搁, ⿰扌<阁>⿵门<各>⿱夂口
搂, ⿰扌<娄>⿱米女
搅, ⿰扌<觉>⿳⺍冖见
搏, ⿰扌<尃>⿱甫寸
搓, ⿰扌<差>⿸<CDP-8CCC>⿱<𦍌>⿱䒑土丿工
搔, ⿰扌<蚤>⿱叉虫
搜, ⿰扌<叟>⿱<CDP-884F>⿻臼丨又
搞, ⿰扌<高>⿳亠口冋
搪, ⿰扌<唐>⿸广⿱<CDP-884D>⿻<CDP-8BAB>⿴<CDP-8C78>;一丨口
搬, ⿰扌<般>⿰舟<殳>⿱几又
搭, ⿰扌<荅>⿱艹<合>⿱<CDP-8AFC>⿵𠆢一口
携, ⿰扌<隽>⿱隹<乃>⿹𠄎丿
摄, ⿰扌<聂>⿱耳<双>⿰又又
摆, ⿰扌<罢>⿱罒<去>⿱土厶
摇, ⿰扌䍃
摊, ⿰扌<难>⿰又隹
摔, ⿰扌<率>⿱⿻<玄>⿱亠幺<CDP-89AE>⿱丷八十
摘, ⿰扌<啇>⿱<CDP-8BAE>⿱亠丷⿵冂<古>⿱十口
摧, ⿰扌<崔>⿱山隹
摩, ⿸<麻>⿸广<林>⿰木木手
摸, ⿰扌<莫>⿱艹<旲>⿱日大
摹, ⿱<莫>⿱艹<旲>⿱日大手
撇, ⿰扌<敝>⿰㡀攵
撑, ⿰扌<掌>⿳<龸>⿱⺌冖口手
撒, ⿰扌<散>⿰<CDP-8CEC>⿱龷<⺼>⿵⺆冫攵
撕, ⿰扌<斯>⿰其斤
撞, ⿰扌<童>⿱立里
撤, ⿲扌<育>⿱<𠫓>⿱亠厶月攵
撩, ⿰扌尞
撬, ⿰扌<毳>⿱毛<㲎>⿰毛毛
播, ⿰扌<番>⿱<釆>⿱丿米田
撮, ⿰扌<最>⿱日<取>⿸耳又
撰, ⿰扌<巽>⿱⿰己己<共>⿱龷八
撵, ⿰扌<辇>⿱<㚘>⿰夫夫车
撼, ⿰扌<感>⿱<咸>⿵<戌>⿵戊一口心
擂, ⿰扌<雷>⿱雨田
擅, ⿰扌亶
操, ⿰扌<喿>⿱<品>⿱口<吅>⿰口口木
擎, ⿱<敬>⿰<苟>⿱艹<句>⿹勹口攵手
擒, ⿰扌<禽>⿱𠆢<离>⿱<㐫>⿱亠<凶>⿶凵㐅<禸>⿻冂厶
擦, ⿰扌<察>⿱宀<祭>⿱<CDP-8C4F>⿰<CDP-88F0>⿴𠂊冫<CDP-8C4E>;示
攀, ⿱<樊>⿱<棥>⿲木<爻>⿱㐅<乂>⿻丿乀木大手
攒, ⿰扌<赞>⿱<兟>⿰<先>⿱𠂒儿<先>⿱𠂒儿贝
攘, ⿰扌<襄>⿳亠⿱<吅>⿰口口<𠀎>⿱井一𧘇
支, ⿱十又
收, ⿰丩攵
改, ⿰己攵
攻, ⿰工攵
放, ⿰方攵
政, ⿰<正>⿱一止攵
故, ⿰<古>⿱十口攵
效, ⿰交攵
敌, ⿰舌攵
敏, ⿰<毎>⿱𠂉毋攵
救, ⿰<求>⿺<CDP-85DC>⿻一氺丶攵
教, ⿰<孝>⿱耂子攵
敛, ⿰佥攵
敞, ⿰<尙>⿱𡭔冋攵
敢, ⿰<CDP-8C5B>⿱<丅>⿱一丨耳攵
散, ⿰<CDP-8CEC>⿱龷<⺼>⿵⺆冫攵
敦, ⿰<享>⿳亠口子攵
敬, ⿰<苟>⿱艹<句>⿹勹口攵
数, ⿰<娄>⿱米女攵
敲, ⿰<高>⿳亠口冋<攴>⿱⺊又
整, ⿱<敕>⿰束攵<正>⿱一止
敷, ⿰⿱⿺<𤰔>⿻一由丶方攵
文, ⿱亠<乂>⿻丿乀
斋, ⿱文而
斑, ⿲<王>⿱一土文<王>⿱一土
料, ⿰米斗
斜, ⿰余斗
斟, ⿰<甚>⿱<CDP-88C8>;<匹>⿷匚儿斗
斤, ⿸𠂆<丅>⿱一丨
斥, ⿻斤丶
斧, ⿱<父>⿱八<乂>⿻丿乀斤
斩, ⿰车斤
断, ⿰⿺𠃊米斤
斯, ⿰其斤
新, ⿰<亲>⿱立朩斤
方, ⿱亠<CDP-8B6C>⿰丿𠃌
施, ⿰方<㐌>⿱𠂉也
旁, ⿱<CDP-8BEC>⿱<CDP-8BAE>⿱亠丷冖方
旅, ⿰方<CDP-8D55>⿱𠂉<CDP-8C66>;
旋, ⿰方<CDP-8DA6>⿱𠂉疋
族, ⿰方<CDP-8CDB>⿱𠂉矢
旗, ⿰方<CDP-8CFC>⿱𠂉其
无, ⿱一尢
既, ⿰<CDP-8B7C>;旡
旦, ⿱日一
旧, ⿰丨日
旨, ⿱匕日
早, ⿱日十
旬, ⿹勹日
旭, ⿺九日
旱, ⿱日干
时, ⿰日寸
旷, ⿰日广
旺, ⿰日<王>⿱一土
昂, ⿱日<卬>⿰<CDP-8CBD>;卩
昆, ⿱日比
昌, ⿱日日
明, ⿰日月
昏, ⿱氏日
易, ⿱日勿
昔, ⿱龷日
昙, ⿱日<云>⿱二厶
星, ⿱日生
映, ⿰日央
春, ⿱<𡗗>⿻<三>⿳一一一人日
昧, ⿰日未
昨, ⿰日乍
昭, ⿰日<召>⿱<刀>⿹𠃌丿口
是, ⿱日<𤴓>⿱一龰
昵, ⿰日<尼>⿸尸匕
昼, ⿱尺<旦>⿱日一
显, ⿱日<业>⿱<CDP-85F0>;一
晃, ⿱日<光>⿳⺌一儿
晋, ⿱<亚>⿱一<业>⿱<CDP-85F0>;一日
晌, ⿰日<向>⿱丿冋
晒, ⿰日<西>⿱一<𠁤>⿻儿口
晓, ⿰日尧兀
晕, ⿱日<军>⿱冖车
晚, ⿰日免
晤, ⿰日<吾>⿱<五>⿱一𫝀口
晦, ⿰日<毎>⿱𠂉毋
晨, ⿱日辰
普, ⿱<並>⿱䒑<业>⿱<CDP-85F0>;一日
景, ⿱日<京>⿳亠口小
晰, ⿰日<析>⿰木斤
晴, ⿰日<青>⿱龶月
晶, ⿱日<昍>⿰日日
