怀 zuodian-dian-shu-heng-pie-shu-dian
尸 hengzhe-heng-shupie
傻 pie-shu-pie-shu-hengzhe-pie-dian-heng-pie-dian-pie-hengpie-na
强 hengzhe-heng-shuzhezhegou-shu-hengzhe-heng-shu-hengzhe-heng-shu-ti-dian
厽 piezhe-dian-piezhe-dian-piezhe-dian
皿 shu-hengzhe-shu-shu-heng
㔾 hengzhegou-shuwangou
槁 heng-shu-pie-dian-dian-heng-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
桀 pie-hengpie-dian-heng-shuzhe-shu-heng-shu-pie-na
猊 pie-wangou-pie-pie-shu-heng-hengzhe-heng-heng-pie-shuwangou
俅 pie-shu-heng-shugou-dian-ti-pie-na-dian
湄 dian-dian-ti-hengzhe-shu-heng-shupie-shu-hengzhe-heng-heng-heng
拇 heng-shugou-ti-shuzhe-hengzhegou-dian-heng-dian
旉 heng-shu-hengzhe-heng-heng-shu-dian-dian-heng-hengzhegou-pie
摈 heng-shugou-ti-dian-zuodian-henggou-pie-shu-heng-shu-heng-pie-dian
痣 dian-heng-shupie-dian-ti-heng-shu-heng-zuodian-wogou-dian-dian
渌 dian-dian-ti-hengzhe-heng-heng-shugou-dian-ti-pie-na
凑 dian-ti-heng-heng-heng-shupie-na-heng-heng-pie-dian
猹 pie-wangou-pie-heng-shu-pie-na-shu-hengzhe-heng-heng-heng
哓 shu-hengzhe-heng-heng-xiegou-pie-heng-pie-shuwangou
卒 dian-heng-pie-dian-pie-dian-heng-shu
埕 heng-shu-ti-shu-hengzhe-heng-heng-heng-shu-heng
噔 shu-hengzhe-heng-hengpie-dian-pie-pie-na-heng-shu-hengzhe-heng-dian-pie-heng
淙 dian-dian-ti-dian-zuodian-henggou-heng-heng-shugou-zuodian-dian
惛 zuodian-dian-shu-pingpie-shuti-ti-xiegou-shu-hengzhegou-heng-heng
佚 pie-shu-pie-heng-heng-shupie-na
现 heng-heng-shu-ti-shu-hengzhe-shupie-shuwangou
敞 shu-dian-pie-shu-hengzhegou-shu-hengzhe-heng-pie-heng-shupie-na
疑 pie-shuwangou-pie-heng-heng-pie-dian-hengpie-dian-henggou-shu-heng-pie-na
孢 hengpie-shugou-ti-pie-hengzhegou-hengzhe-heng-shuwangou
煦 shu-hengzhe-heng-heng-pie-hengzhegou-shu-hengzhe-heng-zuodian-dian-dian-dian
嗩 shu-hengzhe-heng-shu-dian-pie-shu-hengzhe-heng-heng-heng-pie-dian
周 shupie-hengzhegou-heng-shu-heng-shu-hengzhe-heng
溏 dian-dian-ti-dian-heng-shupie-hengzhe-heng-heng-shu-shu-hengzhe-heng
坪 heng-shu-ti-heng-dian-pie-heng-shu
滯 dian-dian-ti-heng-pie-shu-shu-heng-shuwangou-zuodian-henggou-shu-hengzhegou-shu
浮 dian-dian-ti-pingpie-dian-dian-pie-hengpie-shugou-heng
恰 zuodian-dian-shu-pie-na-heng-shu-hengzhe-heng
皓 pie-shu-hengzhegou-heng-heng-pie-heng-shu-heng-shu-hengzhe-heng
柵 heng-shu-pie-dian-shupie-hengzhegou-heng-shu-shu
䙴 heng-shu-hengzhe-shu-shu-heng-heng-pie-dian-hengzhegou-shuwangou
奶 piedian-pie-heng-hengzhezhezhe勾-shupie
巹 hengpie-pie-hengpie-pie-na-heng-hengzhe-heng-shuwangou
僻 pie-shu-hengzhe-heng-shupie-shu-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu
叽 shu-hengzhe-heng-shupie-hengzhegou
囿 shu-hengzhegou-heng-pie-shu-hengzhe-heng-heng-heng
啾 shu-hengzhe-heng-pie-heng-shu-pie-dian-dian-pie-shupie-na
椁 heng-shu-pie-dian-dian-heng-shu-hengzhe-heng-hengpie-shugou-heng
殂 heng-pie-hengpie-dian-shu-hengzhe-heng-heng-heng
戇 dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-heng-shu-pie-hengpie-na-heng-shu-heng-shu-hengzhe-heng-heng-heng-pie-dian-zuodian-wogou-dian-dian
猪 pie-wangou-pie-heng-shu-heng-pie-shu-hengzhe-heng-heng
攉 heng-shugou-ti-heng-zuodian-henggou-shu-dian-dian-dian-dian-pie-shu-dian-heng-heng-heng-shu-heng
撈 heng-shugou-pie-dian-pie-shupie-dian-dian-pie-shupie-dian-zuodian-henggou-hengzhegou-pie
堋 heng-shu-ti-shupie-hengzhegou-heng-heng-shupie-hengzhegou-heng-heng
帏 shu-hengzhegou-shu-heng-heng-hengzhegou-shu
獬 pie-wangou-pie-pie-hengpie-shupie-hengzhegou-heng-heng-shu-hengzhegou-pie-pie-heng-heng-shu
吓 shu-hengzhe-heng-heng-shu-dian
樗 heng-shu-pie-dian-heng-shu-henggou-shu-dian-dian-dian-dian-heng-heng-shuzhezhegou
洙 dian-dian-ti-pie-heng-heng-shu-pie-na
煅 dian-pie-shupie-dian-pie-shu-heng-heng-ti-shu-hengzhewan-hengpie-na
怛 zuodian-dian-shu-shu-hengzhe-heng-heng-heng
挝 heng-shugou-ti-heng-shugou-dian-dian-hengzhezhepie-pingna
星 shu-hengzhe-heng-heng-pie-heng-heng-shu-heng
溅 dian-dian-ti-shu-hengzhe-shupie-dian-heng-heng-xiegou-pie-dian
尣 zuodian-dian-shupie-shuwangou
客 dian-zuodian-henggou-pie-hengpie-pingna-shu-hengzhe-heng
弥 hengzhe-heng-shuzhezhegou-pie-henggou-shugou-zuodian-dian
牲 pie-heng-shu-ti-pie-heng-heng-shu-heng
咨 dian-ti-pie-henggou-pie-na-shu-hengzhe-heng
瞪 shu-hengzhegou-heng-heng-heng-hengpie-dian-pie-pie-na-heng-shu-hengzhe-heng-dian-pie-heng
檬 heng-shu-pie-dian-heng-shu-pie-zuodian-henggou-heng-heng-pie-wangou-pie-pie-pie-na
港 dian-dian-ti-heng-shu-shu-heng-pie-na-hengzhe-heng-shuwangou
涮 dian-dian-ti-hengzhe-heng-shupie-shu-hengzhegou-shu-shu-shugou
牿 pie-heng-shu-ti-pie-heng-shu-heng-shu-hengzhe-heng
朵 shupie-shuzhe-heng-shu-pie-na
暴 shu-hengzhe-heng-heng-heng-shu-shu-heng-pie-na-shugou-dian-ti-pie-dian
岸 shu-shuzhe-shu-heng-shupie-heng-heng-shu
倻 pie-shu-heng-shu-shu-pie-heng-ti-hengpiewangou-shu
匽 heng-shu-hengzhe-heng-heng-piedian-pie-heng-shuzhe
劼 heng-shu-heng-shu-hengzhe-heng-hengzhegou-shupie
嘿 shu-hengzhe-heng-shu-hengzhe-dian-pie-heng-shu-heng-heng-zuodian-dian-dian-dian
喾 dian-dian-pie-zuodian-henggou-pie-heng-shu-heng-shu-hengzhe-heng
检 heng-shu-pie-dian-pie-na-heng-dian-dian-pie-heng
毂 heng-shu-heng-zuodian-henggou-heng-piezhe-ti-shu-hengzhewan-pie-na-hengpie
仄 heng-shupie-shupie-na
扇 dian-hengzhe-heng-shupie-hengzhegou-dian-ti-hengzhegou-dian-ti
敉 dian-pie-heng-shu-pie-dian-pie-heng-pie-na
塋 dian-pie-shupie-dian-dian-pie-shupie-dian-zuodian-henggou-heng-shu-heng
柊 heng-shu-pie-dian-pie-hengpie-na-dian-dian
嫌 piedian-pie-heng-dian-pie-heng-hengzhe-heng-heng-shu-shu-pie-na
兑 dian-pie-shu-hengzhe-heng-pie-shuwangou
呓 shu-hengzhe-heng-heng-shu-pie-hengzhewangou
叒 hengpie-na-hengpie-na-hengpie-na
囔 shu-hengzhe-heng-heng-shu-hengzhe-heng-shu-zuodian-henggou-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-shu-shu-heng-pie-shuti-pie-na
睜 shu-hengzhe-heng-heng-heng-pingpie-dian-dian-pie-hengzhe-heng-heng-shugou
畸 shu-hengzhe-heng-shu-heng-heng-pie-dian-heng-shu-hengzhe-heng-shugou
浙 dian-dian-ti-heng-shugou-ti-pie-shupie-heng-shu
俚 pie-shu-shu-hengzhe-heng-heng-shu-heng-heng
澠 dian-dian-ti-shu-hengzhe-heng-heng-shu-shuwangou-heng-shu-heng-heng-hengzhe-heng-heng
拜 pingpie-heng-heng-shupie-heng-heng-heng-heng-shu
晟 shu-hengzhe-heng-heng-heng-shupie-hengzhegou-xiegou-pie-dian
潑 dian-dian-ti-hengpie-dian-pie-pie-na-hengzhe-heng-shuzhezhegou-pie-hengzhewan-hengpie-dian
屣 hengzhe-heng-shupie-pie-pie-shu-shu-heng-shu-heng-shu-heng-pie-na
寢 dian-zuodian-henggou-shuzhe-shu-heng-pie-hengzhe-heng-heng-zuodian-henggou-hengpie-na
彥 dian-heng-pie-dian-heng-shupie-pie-pie-pie
剧 hengzhe-heng-shupie-heng-shu-shu-hengzhe-heng-shu-shugou
処 pie-hengpie-pingna-shupie-hengzhexiegou
哨 shu-hengzhe-heng-shu-dian-pie-shu-hengzhegou-heng-heng
桫 heng-shu-pie-dian-dian-dian-ti-shu-zuodian-dian-pie
湯 dian-dian-ti-shu-hengzhegou-heng-heng-heng-pie-hengzhegou-pie-pie
淮 dian-dian-ti-pie-shu-dian-heng-heng-heng-shu-heng
惰 zuodian-dian-shu-heng-pie-heng-shu-heng-shu-hengzhegou-heng-heng
摳 heng-shugou-ti-heng-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-shuzhe
揲 heng-shugou-ti-heng-shu-shu-heng-shuzhe-heng-shu-pie-na
杵 heng-shu-pie-dian-pie-heng-heng-shu
更 heng-shu-hengzhe-heng-heng-shupie-na
婷 piedian-pie-heng-dian-heng-shu-hengzhe-heng-zuodian-henggou-heng-shugou
瀨 dian-dian-ti-heng-shu-hengzhe-heng-shu-pie-dian-hengzhegou-pie-shu-hengzhe-heng-heng-heng-pie-dian
偻 pie-shu-dian-pie-heng-shu-pie-na-piedian-pie-heng
狼 pie-piedian-pie-dian-hengzhe-heng-heng-shuti-pie-na
嗾 shu-hengzhe-heng-dian-heng-hengzhegou-pie-pie-heng-zuodian-heng-heng-pie-na
梁 dian-dian-ti-hengzhegou-pie-zuodian-dian-heng-shu-pie-na
樂 piezhe-piezhe-dian-pie-shu-hengzhe-heng-heng-piezhe-piezhe-dian-heng-shu-pie-na
亅 shugou
伄 pie-shu-hengzhe-heng-shuzhezhegou-shu
掇 heng-shugou-ti-hengpie-dian-hengpie-dian-hengpie-dian-hengpie-na
怆 zuodian-dian-shu-pie-na-hengzhegou-shuwangou
昊 shu-hengzhe-heng-heng-heng-heng-pie-na
嬌 piedian-pie-heng-pingpie-heng-pie-na-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
導 dian-pie-heng-pie-shu-hengzhe-heng-heng-heng-dian-hengzhezhepie-pingna-heng-shugou-dian
傑 pie-shu-pie-hengpie-dian-heng-shuzhe-shu-heng-shugou-zuodian-dian
焐 zuodian-pie-shupie-dian-heng-pie-hengzhe-heng-shu-hengzhe-heng
划 heng-xiegou-pie-dian-shu-shugou
嚕 shu-hengzhe-heng-pie-hengpie-shu-hengzhe-heng-shu-heng-zuodian-dian-dian-dian-shu-hengzhegou-heng-heng
璚 heng-heng-shu-ti-hengpie-dian-henggou-shugou-pie-shu-hengzhegou-pie-shuwan-shu-hengzhe-heng
殗 heng-pie-hengpie-dian-heng-pie-na-shu-hengzhegou-heng-heng-shuwangou
栖 heng-shu-pie-dian-heng-shu-hengzhegou-shupie-shuwan-heng
沙 dian-dian-ti-shu-zuodian-dian-pie
瘅 dian-heng-shupie-dian-ti-dian-pie-shu-hengzhe-heng-heng-heng-shu
业 shu-shu-dian-pie-heng
湛 dian-dian-ti-heng-shu-shu-heng-heng-heng-pie-dian-shuzhe
搞 heng-shugou-ti-dian-heng-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
夠 pie-hengpie-dian-pie-hengpie-dian-pie-hengzhegou-shu-hengzhe-heng
庥 dian-heng-shupie-pie-shu-heng-shu-pie-na
倦 pie-shu-dian-pie-heng-heng-shupie-na-hengzhegou-shuwangou
咩 shu-hengzhe-heng-dian-pie-heng-heng-heng-shu
用 shupie-hengzhegou-heng-heng-shu
榫 heng-shu-pie-dian-pie-shu-dian-heng-heng-heng-shu-heng-heng-shu
瘪 dian-heng-shupie-dian-ti-pie-shu-hengzhe-heng-heng-heng-pie-na-pie-shuwangou
炳 zuodian-pie-shupie-dian-heng-shu-hengzhegou-shupie-dian
侯 pie-shu-hengzhe-heng-pie-heng-heng-pie-na
氮 pie-heng-heng-hengzhewangou-dian-pie-pie-dian-dian-pie-pie-dian
悱 zuodian-dian-shu-shu-heng-heng-ti-shu-heng-heng-heng
戲 shu-heng-henggou-shupie-heng-shuwangou-heng-shu-hengzhe-heng-dian-pie-ti-heng-xiegou-pie-dian
朴 heng-shu-pie-dian-shu-dian
冻 dian-ti-heng-piezhe-shugou-pie-dian
瞿 shu-hengzhe-heng-heng-heng-shu-hengzhe-heng-heng-heng-pie-shu-dian-heng-heng-heng-shu-heng
吾 heng-shu-hengzhe-heng-shu-hengzhe-heng
犄 pie-heng-shu-ti-heng-pie-dian-heng-shu-hengzhe-heng-shugou
睡 shu-hengzhegou-heng-heng-heng-pingpie-heng-shu-heng-shu-shu-heng-heng
仅 pie-shu-hengpie-na
恆 zuodian-dian-shu-heng-shu-hengzhegou-dian-dian-heng
效 dian-heng-pie-dian-pie-dian-pie-heng-pie-na
始 piedian-pie-heng-piezhe-dian-shu-hengzhe-heng
潞 dian-dian-ti-shu-hengzhe-heng-shu-heng-shu-ti-pie-hengpie-na-shu-hengzhe-heng
孌 piezhe-piezhe-dian-dian-dian-dian-dian-heng-heng-heng-shu-hengzhe-heng-piezhe-piezhe-dian-dian-dian-dian-piedian-pie-heng
忏 zuodian-dian-shu-pingpie-heng-shu
屎 hengzhe-heng-shupie-dian-pie-heng-shu-pie-na
僑 pie-shu-pingpie-heng-pie-na-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
嗓 shu-hengzhe-heng-hengpie-dian-hengpie-dian-hengpie-dian-heng-shu-pie-na
牒 shupie-shu-heng-hengzhe-heng-shu-shu-heng-shuzhe-heng-shu-pie-na
毗 shu-hengzhe-heng-shu-heng-heng-shuti-pie-shuwangou
泙 dian-dian-ti-heng-dian-pie-heng-shu
煥 zuodian-pie-shupie-dian-pie-hengpie-shu-hengzhe-pie-shuwan-heng-pie-na
乚 shuwangou
摞 heng-shugou-ti-shu-hengzhe-heng-shu-heng-piezhe-piezhe-dian-shugou-zuodian-dian
奠 dian-pie-heng-shu-hengzhe-pie-shuwan-heng-heng-heng-pie-na
婢 piedian-pie-heng-pie-shu-hengzhe-heng-heng-pie-heng-shu
廥 dian-heng-shupie-pie-na-heng-shu-hengzhe-shu-dian-pie-heng-shu-hengzhe-heng-heng
彤 shupie-hengzhegou-dian-heng-pie-pie-pie
珧 heng-heng-shu-ti-shupie-dian-ti-shuwangou-pie-dian
哩 shu-hengzhe-heng-shu-hengzhe-heng-heng-shu-heng-heng
噪 shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng-shu-pie-na
狐 pie-wangou-pie-pingpie-shupie-shuti-dian-na
俯 pie-shu-dian-heng-shupie-pie-shu-heng-shugou-dian
瘼 dian-heng-shupie-dian-ti-heng-shu-pie-shu-hengzhe-heng-heng-heng-pie-na
惱 zuodian-dian-shu-piedian-piedian-piedian-pie-shu-hengzhegou-pie-dian-heng
慰 hengzhe-heng-shupie-heng-heng-shugou-zuodian-dian-heng-shugou-dian-zuodian-wogou-dian-dian
击 heng-heng-shu-shuzhe-shu
幺 piezhe-piezhe-dian
狽 pie-wangou-pie-shu-hengzhe-heng-heng-heng-pie-dian
癫 dian-heng-shupie-dian-ti-heng-shu-shu-hengzhe-heng-heng-heng-heng-pie-dian-heng-pie-shu-hengzhe-shupie-dian
瑾 heng-heng-shu-ti-heng-shu-shu-heng-shu-hengzhe-heng-heng-heng-shu-heng
榀 heng-shu-pie-dian-shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng
清 dian-dian-ti-heng-heng-shu-heng-shu-hengzhegou-heng-heng
侄 pie-shu-heng-piezhe-dian-heng-shu-heng
指 heng-shugou-ti-pie-shuwangou-shu-hengzhegou-heng-heng
夋 piezhe-dian-pie-dian-pie-hengpie-na
炖 zuodian-pie-shupie-dian-heng-shuzhe-shu-shuwangou
完 dian-zuodian-henggou-heng-heng-pie-shuwangou
式 heng-heng-shu-ti-xiegou-dian
們 pie-shu-shu-hengzhe-heng-heng-shu-hengzhegou-heng-heng
甓 hengzhe-heng-pie-shu-hengzhe-heng-dian-heng-dian-pie-heng-heng-shu-heng-shuti-hengzhewangou-dian
犒 pie-heng-shu-ti-dian-heng-shu-hengzhe-heng-shu-hengzhegou-shu-hengzhe-heng
瘕 dian-heng-shupie-dian-ti-hengzhe-heng-shu-heng-heng-hengzhe-heng-hengpie-na
垔 heng-shu-hengzhe-pie-shuwan-heng-heng-shu-heng
氙 pie-heng-heng-hengzhexiegou-shu-shuzhe-shu
愛 pingpie-dian-dian-pie-zuodian-henggou-zuodian-wogou-dian-dian-pie-hengpie-na
亚 heng-shu-shu-dian-pie-heng
期 heng-shu-shu-heng-heng-heng-pie-dian-shupie-hengzhegou-heng-heng
撞 heng-shugou-ti-dian-heng-dian-pie-heng-shu-hengzhe-heng-heng-shu-heng-heng
堡 pie-shu-shu-hengzhe-heng-heng-shu-pie-na-heng-shu-heng
帥 pie-shu-hengzhe-heng-hengzhe-heng-shu-hengzhegou-shu
匧 heng-heng-shupie-na-pie-dian-pie-dian-shuzhe
吩 shu-hengzhe-heng-pie-na-hengzhegou-pie
喨 shu-hengzhe-heng-dian-heng-shu-hengzhe-heng-zuodian-henggou-pie-shuwangou
伯 pie-shu-pie-shu-hengzhegou-heng-heng
沮 dian-dian-ti-shu-hengzhe-heng-heng-heng
怱 pie-hengzhegou-pie-pie-dian-zuodian-wogou-dian-dian
燉 zuodian-pie-shupie-dian-dian-heng-shu-hengzhe-heng-hengpie-shugou-ti-pie-heng-pie-na
昵 shu-hengzhe-heng-heng-hengzhe-heng-shupie-pie-shuwangou
嬷 piedian-pie-heng-dian-heng-shupie-heng-shu-pie-dian-heng-shu-pie-na-pie-piezhe-dian
尹 hengzhe-heng-heng-shupie
嶸 shu-shuzhe-shu-dian-pie-pie-dian-dian-pie-shupie-dian-zuodian-henggou-heng-shu-pie-na
儻 pie-shu-shu-dian-pie-zuodian-henggou-shu-hengzhe-heng-shu-hengzhe-dian-pie-heng-shu-heng-heng-zuodian-dian-dian-dian
刽 pie-dian-heng-heng-piezhe-dian-shu-shugou
咾 shu-hengzhe-heng-heng-shu-heng-pie-pie-shuwangou
桁 heng-shu-pie-dian-pie-pie-shu-heng-heng-shugou
槀 dian-heng-dian-heng-heng-shu-hengzhegou-dian-henggou-heng-heng-shu-pie-na
浃 dian-dian-ti-heng-dian-pie-heng-shupie-na
久 pie-hengpie-na
俄 pie-shu-pie-heng-shugou-ti-xiegou-pie-dian
惆 zuodian-dian-shu-shupie-hengzhegou-heng-shu-heng-shu-hengzhe-heng
奋 heng-pie-na-shu-hengzhegou-heng-shu-heng
富 dian-zuodian-henggou-heng-shu-hengzhe-heng-shu-hengzhegou-heng-shu-heng
灑 dian-dian-ti-heng-shu-hengzhe-dian-heng-shu-hengzhe-dian-dian-heng-shupie-hengzhe-shu-shu-heng-heng-shuti-pie-shuwangou
啓 dian-hengzhe-heng-shupie-pie-heng-pie-na-shu-hengzhe-heng
勒 heng-shu-shu-heng-shu-hengzhe-heng-heng-shu-hengzhegou-shupie
埔 heng-shu-ti-heng-shu-hengzhegou-heng-heng-shu-dian
狸 pie-wangou-pie-shu-hengzhe-heng-heng-shu-heng-heng
淘 dian-dian-ti-pie-hengzhegou-pie-heng-heng-shu-shuzhe-shu
滚 dian-dian-ti-dian-heng-dian-pie-piezhe-dian-pie-shuti-pie-na
束 heng-shu-hengzhe-heng-shu-pie-na
擞 heng-shugou-ti-dian-pie-heng-shu-pie-dian-piedian-pie-heng-pie-heng-pie-na
忤 zuodian-dian-shu-pie-heng-heng-shu
卧 heng-shu-hengzhe-heng-shu-shuzhe-shu-dian
僦 pie-shu-dian-heng-shu-hengzhe-heng-shugou-zuodian-dian-heng-shupie-shuwangou-dian
瑩 dian-pie-shupie-dian-dian-pie-shupie-dian-zuodian-henggou-heng-heng-shu-heng-dian
嗨 shu-hengzhe-heng-dian-dian-ti-pie-heng-piezhe-hengzhegou-dian-heng-dian
楫 heng-shu-pie-dian-shu-hengzhe-heng-heng-shu-shu-heng-heng-heng
囪 pie-shu-hengzhegou-pie-pie-dian-heng
災 piedian-piedian-piedian-dian-pie-pie-na
佯 pie-shu-dian-pie-heng-heng-heng-shu
泮 dian-dian-ti-dian-pie-heng-heng-shu
珍 heng-heng-shu-ti-pie-na-pie-pie-pie
眺 shu-hengzhe-heng-heng-heng-shupie-dian-ti-shuwangou-pie-dian
柴 shu-heng-shu-ti-pie-shuwangou-heng-shu-pie-na
壶 heng-shu-heng-zuodian-henggou-shu-shu-dian-pie-heng
屹 shu-shuzhe-shu-pie-heng-hengzhewangou
巸 heng-shu-shu-hengzhe-heng-shu-shuzhe-hengzhe-heng-shuwangou
养 dian-pie-heng-heng-heng-pie-na-pie-shu
建 hengzhe-heng-heng-heng-heng-shu-hengzhezhepie-pingna
剽 heng-shu-hengzhe-shu-shu-heng-heng-heng-shugou-zuodian-dian-shu-shugou
叼 shu-hengzhe-heng-hengzhegou-ti
睿 shu-heng-zuodian-henggou-heng-pie-dian-pie-na-shu-hengzhe-heng-heng-heng
捃 heng-shugou-ti-hengzhe-heng-heng-shupie-shu-hengzhe-heng
溃 dian-dian-ti-shu-hengzhe-heng-shu-heng-shu-hengzhe-pie-dian
涅 dian-dian-ti-shu-hengzhe-heng-heng-heng-shu-heng
滗 dian-dian-ti-pie-heng-dian-pie-heng-dian-pingpie-heng-heng-shuwangou
枉 heng-shu-pie-dian-heng-heng-shu-heng
爭 pingpie-dian-dian-pie-hengzhe-heng-heng-shugou
妍 piedian-pie-heng-heng-heng-shupie-shu
玃 pie-piedian-pie-shu-hengzhe-heng-heng-heng-shu-hengzhe-heng-heng-heng-pie-shu-dian-heng-heng-heng-shu-heng-hengpie-na
玑 heng-heng-shu-ti-shupie-hengzhewangou
爐 zuodian-pie-shupie-dian-shu-heng-henggou-shupie-heng-shuwangou-shu-hengzhe-heng-shu-heng-shu-hengzhe-shu-shu-heng
嚓 shu-hengzhe-heng-dian-zuodian-henggou-pie-hengpie-dian-dian-hengpie-na-heng-heng-shugou-zuodian-dian
儒 pie-shu-heng-zuodian-henggou-shu-dian-dian-dian-dian-heng-pie-shu-hengzhegou-shu-shu
眯 shu-hengzhe-heng-heng-heng-dian-pie-heng-shu-pie-na
梗 heng-shu-pie-dian-heng-shu-hengzhe-heng-heng-shupie-na
欖 heng-shu-pie-dian-heng-shu-hengzhe-heng-shu-shuzhe-pie-heng-dian-shu-hengzhe-shu-shu-heng-shu-hengzhe-heng-heng-heng-pie-shuwangou
丘 pie-shu-heng-shu-heng
抛 heng-shugou-ti-shupie-hengzhewangou-hengzhegou-shupie
洚 dian-dian-ti-pie-hengpie-na-heng-shuzhe-shu
憝 dian-heng-shu-hengzhe-heng-hengpie-shugou-ti-pie-heng-pie-na-zuodian-wogou-dian-dian
怜 zuodian-dian-shu-pie-na-dian-hengpie-dian
审 dian-zuodian-henggou-shu-hengzhe-heng-heng-shu
娠 piedian-pie-heng-heng-shupie-heng-heng-shuti-pie-na
夢 shu-heng-pie-heng-dian-hengzhe-shu-pie-heng-zuodian-henggou-pie-hengpie-dian
玩 heng-heng-shu-ti-heng-heng-pie-shuwangou
尤 heng-shupie-shuwangou-dian
傧 pie-shu-dian-zuodian-henggou-pie-shu-heng-shu-heng-pie-dian
匦 heng-heng-piezhe-shu-ti-shupie-hengzhewangou-shuzhe
垩 heng-shu-shu-dian-pie-heng-heng-shu-heng
癧 dian-heng-shupie-dian-ti-heng-shupie-pingpie-heng-shu-pie-dian-pingpie-heng-shu-pie-na-shu-heng-shu-heng
檫 heng-shu-pie-dian-dian-zuodian-henggou-pie-hengpie-dian-dian-hengpie-na-heng-heng-shugou-zuodian-dian
唪 shu-hengzhe-heng-heng-heng-heng-shupie-na-heng-heng-shu
榭 heng-shu-pie-dian-pie-shu-hengzhegou-heng-heng-heng-pie-heng-shugou-dian
癜 dian-heng-shupie-dian-ti-hengzhe-heng-shupie-heng-shu-shu-heng-pie-dian-pie-hengzhewan-hengpie-na
掱 pingpie-heng-heng-shugou-pingpie-heng-heng-shugou-pie-heng-heng-shugou
戰 shu-hengzhe-heng-shu-hengzhe-heng-shu-hengzhe-heng-heng-heng-shu-heng-xiegou-pie-dian
搴 dian-zuodian-henggou-heng-heng-shu-shu-heng-pie-na-pingpie-heng-heng-shugou
徹 pie-pie-shu-dian-heng-piezhe-dian-shu-hengzhegou-heng-heng-pie-heng-pie-na
常 shu-dian-pie-zuodian-henggou-shu-hengzhe-heng-shu-hengzhegou-shu
冽 dian-ti-heng-pie-hengpie-dian-shu-shugou
值 pie-shu-heng-shu-shu-hengzhe-heng-heng-heng-heng
咿 shu-hengzhe-heng-shupie-shu-hengzhe-heng-heng-shupie
圾 heng-shu-ti-pie-hengzhezhepie-na
毁 pie-shu-heng-hengzhe-heng-heng-heng-shu-ti-shupie-hengzhewan-hengpie-na
仃 pie-shu-heng-shugou
楂 heng-shu-pie-dian-heng-shu-pie-na-shu-hengzhe-heng-heng-heng
淅 dian-dian-ti-heng-shu-pie-dian-pie-shupie-heng-shu
捆 heng-shugou-ti-shu-hengzhegou-heng-shu-pie-dian-heng
塌 heng-shu-ti-shu-hengzhe-heng-heng-hengzhegou-dian-ti-hengzhegou-dian-ti
彎 piezhe-piezhe-dian-shu-dian-dian-dian-heng-heng-heng-shu-hengzhe-heng-piezhe-piezhe-dian-dian-dian-dian-hengzhe-heng-shuzhezhegou
发 piezhe-pie-hengpie-na-dian
剐 shu-hengzhe-heng-shu-hengzhegou-shupie-dian-shu-shugou
兒 pie-shu-heng-hengzhe-heng-heng-pie-shuwangou
痕 dian-heng-shupie-dian-ti-hengzhe-heng-heng-shuti-pie-na
呔 shu-hengzhe-heng-heng-shupie-na-dian
棗 heng-dian-hengzhe-shu-pie-dian-heng-shu-hengzhe-shu-pie-na
乘 pingpie-heng-shu-shu-heng-ti-pie-shuwangou-pie-na
招 heng-shugou-ti-hengzhegou-pie-shu-hengzhe-heng
浚 dian-dian-ti-piezhe-dian-pie-dian-pie-hengpie-na
杞 heng-shu-pie-dian-hengzhe-heng-shuwangou
寡 dian-zuodian-henggou-heng-pie-shu-hengzhe-heng-heng-heng-pie-na-hengzhegou-pie
廣 dian-heng-shupie-heng-shu-shu-heng-heng-shu-hengzhe-heng-shu-heng-pie-dian
奢 heng-pie-na-heng-shu-heng-pie-shu-hengzhegou-heng-heng
工 heng-shu-heng
層 hengzhe-heng-shupie-dian-pie-shu-hengzhegou-shu-dian-pie-heng-shu-hengzhegou-heng-heng
僧 pie-shu-dian-pie-shu-hengzhe-shu-dian-pie-heng-shu-hengzhegou-heng-heng
卦 heng-shu-heng-heng-shu-ti-shu-dian
矩 pie-heng-heng-shupie-dian-heng-hengzhe-heng-shuzhe
器 shu-hengzhe-heng-shu-hengzhe-heng-heng-pie-na-dian-shu-hengzhe-heng-shu-hengzhe-heng
櫫 heng-pie-piedian-pie-pie-pie-dian-heng-shu-heng-pie-shu-hengzhegou-heng-heng-heng-shu-pie-na
啪 shu-hengzhe-heng-heng-shugou-ti-pie-shu-hengzhegou-heng-heng
槭 heng-shu-pie-dian-heng-shupie-shu-heng-heng-shugou-pie-dian-xiegou-pie-dian
泯 dian-dian-ti-hengzhe-heng-shuti-heng-xiegou
